name,logo,appid,type,steam_appid,is_free,supported_languages,developers,publishers,price_overview,original_price,discounted_price,platforms,genres,achievements,num_reviews,review_score,review_score_desc,total_positive,total_negative,total_reviews
Hydroneer,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1106840/capsule_sm_120.jpg?t=1725365055,1106840,game,1106840,False,"English<strong>*</strong>, Russian, Portuguese - Brazil, French, German, Turkish, Dutch, Polish, Spanish - Spain, Romanian, Simplified Chinese, Czech, Italian, Korean, Arabic, Japanese, Danish, Norwegian, Swedish<br><strong>*</strong>languages with full audio support",['Foulball Hangover'],['Foulball Hangover'],"5,17€","14,79€","5,17€","{'windows': True, 'mac': False, 'linux': False}","['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",78.0,20,8,Very Positive,14726,2114,16840
Assassin's Creed® Odyssey,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/812140/capsule_sm_120.jpg?t=1736257794,812140,game,812140,False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic, Czech, Dutch, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese, Traditional Chinese<br><strong>*</strong>languages with full audio support","['Ubisoft Quebec', 'Ubisoft Montreal', 'Ubisoft Bucharest', 'Ubisoft Singapore', 'Ubisoft Montpellier', 'Ubisoft Kiev', 'Ubisoft Shanghai']",['Ubisoft'],"11,99€","59,99€","11,99€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure', 'RPG']",93.0,20,8,Very Positive,47681,5519,53200
Intravenous 2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2608270/1df7229205807b708cb864383ea9454eabaad04f/capsule_sm_120.jpg?t=1741030668,2608270,game,2608270,False,"English, French, German, Spanish - Spain, Japanese, Korean, Polish, Russian, Simplified Chinese, Traditional Chinese, Turkish, Portuguese - Brazil",['Explosive Squat Games'],['HypeTrain Digital'],"13,93€","19,90€","13,93€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure', 'Strategy']",55.0,20,9,Overwhelmingly Positive,930,38,968
The First Descendant,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2074920/8dde06617869e8886a3f449b082ba0d73b837314/capsule_sm_120.jpg?t=1735020965,2074920,game,2074920,True,"English<strong>*</strong>, Japanese, Simplified Chinese, Traditional Chinese, Korean<strong>*</strong>, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian<br><strong>*</strong>languages with full audio support","['NEXON Games Co., Ltd.']",['NEXON'],,,,"{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure', 'RPG', 'Free To Play']",24.0,0,0,No user reviews,0,0,0
AIR,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2983250/e1eeffcd8a09cbe64648569c43e692303115037f/capsule_sm_120.jpg?t=1741161860,2983250,game,2983250,False,"English, Simplified Chinese, Japanese<strong>*</strong><br><strong>*</strong>languages with full audio support",['VISUAL ARTS/Key'],['VISUAL ARTS'],"26,09€","28,99€","26,09€","{'windows': True, 'mac': False, 'linux': False}","['Adventure', 'Casual', 'Simulation']",15.0,12,7,Positive,14,0,14
Balatro,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2379780/capsule_sm_120.jpg?t=1740416199,2379780,game,2379780,False,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Polish, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America, Traditional Chinese",['LocalThunk'],['Playstack'],"13,99€",,"13,99€","{'windows': True, 'mac': True, 'linux': False}","['Casual', 'Indie', 'Strategy']",31.0,20,9,Overwhelmingly Positive,69490,1198,70688
Everhood 2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1984020/capsule_sm_120.jpg?t=1741123698,1984020,game,1984020,False,"English<strong>*</strong>, Japanese<strong>*</strong>, French<strong>*</strong>, Simplified Chinese<strong>*</strong>, Traditional Chinese<strong>*</strong><br><strong>*</strong>languages with full audio support","['Chris Nordgren', 'Jordi Roca']",['Foreign Gnomes'],"17,55€","19,50€","17,55€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure', 'Indie', 'RPG']",128.0,20,8,Very Positive,280,36,316
Euro Truck Simulator 2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/227300/capsule_sm_120.jpg?t=1739871676,227300,game,227300,False,"English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Portuguese - Portugal, Polish, Danish, Dutch, Finnish, Norwegian, Swedish, Hungarian, Czech, Romanian, Turkish, Portuguese - Brazil, Bulgarian, Greek, Ukrainian, Traditional Chinese, Catalan, Lithuanian, Serbian, Slovak, Slovenian",['SCS Software'],['SCS Software'],"19,99€",,"19,99€","{'windows': True, 'mac': True, 'linux': True}","['Indie', 'Simulation']",98.0,20,9,Overwhelmingly Positive,120170,2958,123128
Assassin's Creed Valhalla,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2208920/capsule_sm_120.jpg?t=1736257857,2208920,game,2208920,False,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Arabic, Simplified Chinese, Traditional Chinese, Korean, Spanish - Latin America, Japanese<strong>*</strong>, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong><br><strong>*</strong>languages with full audio support",['Ubisoft Montreal'],['Ubisoft'],"14,99€","59,99€","14,99€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure', 'RPG']",92.0,20,5,Mixed,7046,3209,10255
ARK: Survival Ascended,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2399830/capsule_sm_120.jpg?t=1739705878,2399830,game,2399830,False,"English<strong>*</strong>, French, Italian, German, Spanish - Spain, Danish, Dutch, Japanese, Korean, Portuguese - Brazil, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish<br><strong>*</strong>languages with full audio support","['Studio Wildcard', 'Grove Street Games', 'Instinct Games']","['Studio Wildcard', 'Snail Games USA']","44,99€",,"44,99€","{'windows': True, 'mac': False, 'linux': False}","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",32.0,20,5,Mixed,22826,16048,38874
